frame_seq,frame_number,total_packets,received_packets,lost_packets,loss_rate,timestamp_us,target_bitrate_kbps
227,228,11,11,0,0.0000,1052923251634,5000
228,229,8,8,0,0.0000,1052923288197,5000
229,230,11,11,0,0.0000,1052923320165,5000
230,231,8,8,0,0.0000,1052923353875,5000
231,232,10,10,0,0.0000,1052923388970,5000
232,233,8,8,0,0.0000,1052923417985,5000
233,234,9,9,0,0.0000,1052923453141,5000
234,235,11,11,0,0.0000,1052923486918,5000
235,236,8,8,0,0.0000,1052923518014,5000
236,237,10,10,0,0.0000,1052923551208,5000
237,238,10,10,0,0.0000,1052923586834,5000
238,239,11,11,0,0.0000,1052923618234,5000
239,240,8,8,0,0.0000,1052923653837,5000
240,241,10,10,0,0.0000,1052923688077,5000
241,242,10,10,0,0.0000,1052923719570,5000
242,243,11,11,0,0.0000,1052923753879,5000
243,244,8,8,0,0.0000,1052923788577,5000
244,245,13,13,0,0.0000,1052923818629,5000
245,246,8,8,0,0.0000,1052923851141,5000
246,247,10,10,0,0.0000,1052923885405,5000
247,248,9,9,0,0.0000,1052923918492,5000
248,249,11,11,0,0.0000,1052923951723,5000
249,250,8,8,0,0.0000,1052923985546,5000
250,251,10,10,0,0.0000,1052924018558,5000
251,252,10,10,0,0.0000,1052924051808,5000
252,253,11,11,0,0.0000,1052924086699,5000
253,254,8,8,0,0.0000,1052924118356,5000
254,255,10,10,0,0.0000,1052924152031,5000
255,256,10,10,0,0.0000,1052924185590,5000
256,257,11,11,0,0.0000,1052924218721,5000
257,258,8,8,0,0.0000,1052924252636,5000
258,259,10,10,0,0.0000,1052924288570,5000
259,260,11,11,0,0.0000,1052924322279,5000
260,261,8,8,0,0.0000,1052924350777,5000
261,262,11,11,0,0.0000,1052924386749,5000
262,263,9,9,0,0.0000,1052924417999,5000
263,264,12,12,0,0.0000,1052924451769,5000
264,265,8,8,0,0.0000,1052924486621,5000
265,266,11,11,0,0.0000,1052924518326,5000
266,267,8,8,0,0.0000,1052924555590,5000
267,268,10,10,0,0.0000,1052924585123,5000
268,269,10,10,0,0.0000,1052924619104,5000
269,270,11,11,0,0.0000,1052924653891,5000
270,271,8,8,0,0.0000,1052924687993,5000
271,272,9,9,0,0.0000,1052924721477,5000
272,273,11,11,0,0.0000,1052924751403,5000
273,274,8,8,0,0.0000,1052924785052,5000
274,275,10,10,0,0.0000,1052924818581,5000
275,276,9,9,0,0.0000,1052924851334,5000
276,277,11,11,0,0.0000,1052924886384,5000
277,278,8,8,0,0.0000,1052924922357,5000
278,279,10,10,0,0.0000,1052924951344,5000
279,280,10,10,0,0.0000,1052924985193,5000
280,281,11,11,0,0.0000,1052925018466,5000
281,282,8,8,0,0.0000,1052925051305,5000
282,283,10,10,0,0.0000,1052925085230,5000
283,284,10,10,0,0.0000,1052925119268,5000
284,285,11,11,0,0.0000,1052925153765,5000
285,286,8,8,0,0.0000,1052925188739,5000
286,287,10,10,0,0.0000,1052925218335,5000
287,288,10,10,0,0.0000,1052925251511,5000
288,289,11,11,0,0.0000,1052925287081,5000
289,290,8,8,0,0.0000,1052925318233,5000
290,291,10,10,0,0.0000,1052925351146,5000
291,292,11,11,0,0.0000,1052925391423,5000
292,293,11,11,0,0.0000,1052925417924,5000
293,294,8,8,0,0.0000,1052925450874,5000
294,295,10,10,0,0.0000,1052925484926,5000
295,296,10,10,0,0.0000,1052925518273,5000
296,297,11,11,0,0.0000,1052925551138,5000
297,298,10,10,0,0.0000,1052925585202,5000
298,299,8,8,0,0.0000,1052925618353,5000
299,300,11,11,0,0.0000,1052925651837,5000
300,301,10,10,0,0.0000,1052925685395,5000
301,302,11,11,0,0.0000,1052925718493,5000
302,303,8,8,0,0.0000,1052925752294,5000
303,304,10,10,0,0.0000,1052925785530,5000
304,305,10,10,0,0.0000,1052925820547,5000
305,306,11,11,0,0.0000,1052925854492,5000
306,307,10,10,0,0.0000,1052925889746,5000
307,308,8,8,0,0.0000,1052925923033,5000
308,309,10,10,0,0.0000,1052925951491,5000
309,310,10,10,0,0.0000,1052925985507,5000
310,311,10,10,0,0.0000,1052926018447,5000
311,312,11,11,0,0.0000,1052926054481,5000
312,313,11,11,0,0.0000,1052926088571,5000
313,314,8,8,0,0.0000,1052926120746,5000
314,315,11,11,0,0.0000,1052926151657,5000
315,316,10,10,0,0.0000,1052926190220,5000
316,317,10,10,0,0.0000,1052926218104,5000
317,318,8,8,0,0.0000,1052926251145,5000
318,319,11,11,0,0.0000,1052926287363,5000
319,320,10,10,0,0.0000,1052926318088,5000
320,321,10,10,0,0.0000,1052926350940,5000
321,322,8,8,0,0.0000,1052926384651,5000
322,323,11,11,0,0.0000,1052926418136,5000
323,324,11,11,0,0.0000,1052926453397,5000
324,325,9,9,0,0.0000,1052926485068,5000
325,326,8,8,0,0.0000,1052926517744,5000
326,327,11,11,0,0.0000,1052926551328,5000
327,328,11,11,0,0.0000,1052926585355,5000
328,329,11,11,0,0.0000,1052926618382,5000
329,330,11,11,0,0.0000,1052926652751,5000
330,331,7,7,0,0.0000,1052926687399,5000
331,332,10,10,0,0.0000,1052926721849,5000
332,333,10,10,0,0.0000,1052926751558,5000
333,334,12,12,0,0.0000,1052926785539,5000
334,335,11,11,0,0.0000,1052926818729,5000
335,336,8,8,0,0.0000,1052926851337,5000
336,337,10,10,0,0.0000,1052926885515,5000
337,338,9,9,0,0.0000,1052926918608,5000
338,339,10,10,0,0.0000,1052926951545,5000
339,340,10,10,0,0.0000,1052926985683,5000
340,341,11,11,0,0.0000,1052927018506,5000
341,342,8,8,0,0.0000,1052927054684,5000
342,343,9,9,0,0.0000,1052927090784,5000
343,344,10,10,0,0.0000,1052927118795,5000
344,345,11,11,0,0.0000,1052927151796,5000
345,346,9,9,0,0.0000,1052927188060,5000
346,347,10,10,0,0.0000,1052927221843,5000
347,348,11,11,0,0.0000,1052927251629,5000
348,349,11,11,0,0.0000,1052927285294,5000
349,350,9,9,0,0.0000,1052927318435,5000
350,351,9,9,0,0.0000,1052927351143,5000
351,352,10,10,0,0.0000,1052927385233,5000
352,353,12,12,0,0.0000,1052927418284,5000
353,354,11,11,0,0.0000,1052927451318,5000
354,355,8,8,0,0.0000,1052927484902,5000
355,356,10,10,0,0.0000,1052927518139,5000
356,357,10,10,0,0.0000,1052927553761,5000
357,358,11,11,0,0.0000,1052927585508,5000
358,359,8,8,0,0.0000,1052927618242,5000
359,360,10,10,0,0.0000,1052927652633,5000
360,361,10,10,0,0.0000,1052927688818,5000
361,362,12,12,0,0.0000,1052927723051,5000
362,363,10,10,0,0.0000,1052927751370,5000
363,364,10,10,0,0.0000,1052927785371,5000
364,365,8,8,0,0.0000,1052927818462,5000
365,366,11,11,0,0.0000,1052927851558,5000
366,367,10,10,0,0.0000,1052927886982,5000
367,368,10,10,0,0.0000,1052927918533,5000
368,369,10,10,0,0.0000,1052927951666,5000
369,370,12,12,0,0.0000,1052927989540,5000
370,371,8,8,0,0.0000,1052928017957,5000
371,372,11,11,0,0.0000,1052928051554,5000
372,373,11,11,0,0.0000,1052928087657,5000
373,374,8,8,0,0.0000,1052928119814,5000
374,375,11,11,0,0.0000,1052928154300,5000
375,376,10,10,0,0.0000,1052928189645,5000
376,377,11,11,0,0.0000,1052928218965,5000
377,378,9,9,0,0.0000,1052928251811,5000
378,379,9,9,0,0.0000,1052928285550,5000
379,380,12,12,0,0.0000,1052928318616,5000
380,381,10,10,0,0.0000,1052928350989,5000
381,382,9,9,0,0.0000,1052928384932,5000
382,383,10,10,0,0.0000,1052928418291,5000
383,384,10,10,0,0.0000,1052928451348,5000
384,385,9,9,0,0.0000,1052928485150,5000
385,386,12,12,0,0.0000,1052928518678,5000
386,387,10,10,0,0.0000,1052928551366,5000
387,388,9,9,0,0.0000,1052928585518,5000
388,389,10,10,0,0.0000,1052928618336,5000
389,390,11,11,0,0.0000,1052928654668,5000
390,391,9,9,0,0.0000,1052928685003,5000
391,392,10,10,0,0.0000,1052928718160,5000
392,393,10,10,0,0.0000,1052928751416,5000
393,394,11,11,0,0.0000,1052928785484,5000
394,395,11,11,0,0.0000,1052928818711,5000
395,396,9,9,0,0.0000,1052928851373,5000
396,397,9,9,0,0.0000,1052928887108,5000
397,398,10,10,0,0.0000,1052928918422,5000
398,399,11,11,0,0.0000,1052928951612,5000
399,400,10,10,0,0.0000,1052928985534,5000
400,401,10,10,0,0.0000,1052929020997,5000
401,402,9,9,0,0.0000,1052929051540,5000
402,403,11,11,0,0.0000,1052929086229,5000
403,404,9,9,0,0.0000,1052929120567,5000
404,405,10,10,0,0.0000,1052929155477,5000
405,406,10,10,0,0.0000,1052929185303,5000
